1000 2000
788 570 1
254 682 3
268 226 13
31 372 37
766 544 81
853 274 51
574 229 53
467 844 93
355 564 77
357 724 111
698 559 1
364 339 53
36 791 73
712 78 167
233 204 141
587 716 101
581 145 153
859 596 103
194 860 57
944 140 121
806 509 1
936 45 103
767 740 133
927 278 97
108 192 101
259 469 51
629 158 153
935 493 113
710 190 137
861 373 131
896 204 1
674 469 153
624 285 93
61 535 127
556 384 61
648 987 101
859 120 153
186 370 123
917 791 117
747 576 41
35 957 1
874 796 103
232 161 153
556 490 57
552 88 121
222 11 51
264 476 53
204 707 33
94 638 97
275 627 51
714 742 1
940 399 53
525 938 13
298 571 87
136 486 81
567 666 101
889 363 53
601 712 143
26 259 77
435 120 161
354 748 1
89 880 103
529 19 73
147 580 117
14 258 141
118 760 51
418 901 153
207 546 153
250 770 57
474 567 71
161 720 1
146 693 53
661 785 133
578 288 47
995 930 101
899 465 101
685 914 153
799 700 63
43 625 137
53 457 81
184 380 1
14 494 103
582 622 93
952 579 177
492 993 61
344 109 51
727 413 153
901 479 73
959 776 117
443 502 91
516 215 1
166 980 153
424 899 153
119 23 107
319 344 121
900 691 101
716 106 53
586 381 83
813 689 97
566 97 101
787 390 1
117 551 3
426 510 13
297 369 37
168 991 81
341 321 51
196 641 53
266 409 93
764 495 77
91 698 111
332 245 1
709 80 53
35 181 73
732 878 167
184 141 141
26 918 101
981 458 153
201 308 103
83 211 57
219 388 121
215 799 1
152 385 103
267 529 133
888 639 97
671 61 101
489 243 51
754 195 153
931 338 113
108 524 137
314 503 131
390 42 1
964 73 153
468 261 93
204 396 127
913 739 61
142 239 101
876 135 153
724 630 123
658 686 117
840 80 41
963 438 1
363 172 103
882 776 153
365 463 57
447 927 121
933 377 51
591 249 53
364 274 33
183 806 97
78 663 51
596 111 1
193 377 53
703 416 13
944 824 87
759 481 81
514 819 101
232 33 53
959 899 143
706 668 77
162 137 161
413 592 1
461 685 103
108 874 73
794 985 117
375 742 141
902 789 51
205 134 153
315 476 153
25 394 57
134 335 71
589 305 1
725 624 53
380 199 133
261 138 47
453 504 101
595 951 101
605 893 153
506 210 63
723 820 137
245 118 81
602 124 1
101 54 103
43 569 93
877 887 177
553 764 61
420 595 51
161 807 153
338 551 73
625 696 117
63 199 91
200 12 1
825 553 153
7 542 153
876 799 107
847 248 121
294 33 101
738 113 53
763 802 83
806 271 97
295 946 101
704 327 1
363 404 3
581 427 13
642 800 37
959 155 81
819 764 51
261 639 53
361 967 93
76 964 77
418 438 111
117 109 1
637 306 53
431 812 73
16 977 167
351 585 141
177 437 101
276 58 153
795 626 103
720 324 57
739 323 121
220 617 1
795 272 103
339 626 133
838 737 97
883 686 101
485 870 51
567 76 153
90 729 113
408 966 137
956 124 131
532 647 1
946 592 153
615 342 93
51 725 127
74 523 61
157 985 101
258 529 153
685 835 123
603 236 117
238 319 41
276 414 1
93 511 103
460 685 153
589 311 57
709 726 121
182 81 51
296 80 53
148 163 33
305 434 97
205 462 51
836 231 1
10 936 53
768 212 13
226 324 87
380 758 81
435 153 101
415 257 53
602 304 143
916 423 77
421 274 161
382 349 1
32 58 103
352 69 73
213 278 117
81 767 141
527 499 51
893 753 153
528 705 153
223 161 57
121 749 71
694 736 1
651 663 53
5 665 133
268 795 47
288 570 101
532 523 101
92 35 153
344 93 63
38 821 137
694 353 81
151 645 1
330 798 103
294 112 93
296 341 177
174 513 61
812 949 51
961 505 153
767 953 73
597 566 117
922 591 91
87 431 1
680 179 153
510 623 153
927 60 107
385 33 121
495 948 101
339 11 53
662 381 83
13 893 97
555 338 101
949 275 1
9 60 3
830 193 13
710 343 37
216 224 81
829 204 51
521 334 53
282 880 93
620 594 77
860 661 111
353 728 1
639 911 53
477 521 73
538 410 167
724 168 141
894 874 101
188 168 153
393 355 103
572 650 57
834 370 121
37 77 1
526 907 103
727 398 133
337 644 97
487 299 101
193 434 51
831 883 153
504 467 113
710 401 137
248 340 131
258 568 1
492 643 153
612 480 93
148 168 127
691 281 61
841 784 101
708 976 153
514 106 123
232 1000 117
503 6 41
718 803 1
476 281 103
402 569 153
120 358 57
30 584 121
46 994 51
376 981 53
179 487 33
948 978 97
426 668 51
852 289 1
789 786 53
493 407 13
340 506 87
796 772 81
786 181 101
465 274 53
998 636 143
42 579 77
104 10 161
667 345 1
461 494 103
301 552 73
909 997 117
773 767 141
650 855 51
878 591 153
387 25 153
665 730 57
979 179 71
572 905 1
548 371 53
424 519 133
551 834 47
960 497 101
192 597 101
471 434 153
221 327 63
417 985 137
216 981 81
205 358 1
982 98 103
289 438 93
166 667 177
575 483 61
446 30 51
175 79 153
266 223 73
372 522 117
663 739 91
987 698 1
776 441 153
297 171 153
94 581 107
269 240 121
525 927 101
910 440 53
316 291 83
534 796 97
541 26 101
119 839 1
958 25 3
845 535 13
311 833 37
396 676 81
598 815 51
187 815 53
295 148 93
82 821 77
279 104 111
96 531 1
611 307 53
864 340 73
53 236 167
756 961 141
47 165 101
274 153 153
771 734 103
822 1 57
402 49 121
361 709 1
587 894 103
785 735 133
614 240 97
305 287 101
786 184 51
834 869 153
676 809 113
817 27 137
793 259 131
491 718 1
877 828 153
23 110 93
341 91 127
739 996 61
378 399 101
674 828 153
439 872 123
396 907 117
950 684 41
758 115 1
53 637 103
811 52 153
198 569 57
907 109 121
175 58 51
508 107 53
504 510 33
966 113 97
395 794 51
387 65 1
433 91 53
359 578 13
858 709 87
100 35 81
868 200 101
777 254 53
329 343 143
588 368 77
82 171 161
973 601 1
577 160 103
198 263 73
589 621 117
944 432 141
399 210 51
23 543 153
413 389 153
448 678 57
588 734 71
442 78 1
827 724 53
11 299 133
294 318 47
348 899 101
584 183 101
472 927 153
341 156 63
185 275 137
383 320 81
644 211 1
15 466 103
829 719 93
750 397 177
518 257 61
877 337 51
588 788 153
634 336 73
187 247 117
899 875 91
740 978 1
80 389 153
403 153 153
84 776 107
717 22 121
20 215 101
530 307 53
716 828 83
152 745 97
230 44 101
224 315 1
172 279 3
405 942 13
216 404 37
273 741 81
834 460 51
570 736 53
66 253 93
78 980 77
390 275 111
275 945 1
222 594 53
914 680 73
942 391 167
261 492 141
828 864 101
534 259 153
194 385 103
682 108 57
390 208 121
854 827 1
521 51 103
344 90 133
157 456 97
354 523 101
579 277 51
730 436 153
363 33 113
117 161 137
100 547 131
894 624 1
31 218 153
193 673 93
399 541 127
909 573 61
556 12 101
289 193 153
889 990 123
262 683 117
554 196 41
630 532 1
242 238 103
651 982 153
404 717 57
538 63 121
872 592 51
178 63 53
56 307 33
24 478 97
747 773 51
733 954 1
770 528 53
250 168 13
602 455 87
146 481 81
881 283 101
618 167 53
708 446 143
300 559 77
424 884 161
122 265 1
904 582 103
937 518 73
631 385 117
627 306 141
166 631 51
498 354 153
136 453 153
722 256 57
828 220 71
54 172 1
578 347 53
342 765 133
274 21 47
335 400 101
929 919 101
124 592 153
349 941 63
692 728 137
908 622 81
451 893 1
88 805 103
477 670 93
717 161 177
232 832 61
702 359 51
434 773 153
741 630 73
139 230 117
737 683 91
876 65 1
701 959 153
112 508 153
631 230 107
586 682 121
926 168 101
951 917 53
448 46 83
101 822 97
626 245 101
852 681 1
865 543 3
964 788 13
281 659 37
888 713 81
404 217 51
434 833 53
950 818 93
430 348 77
606 999 111
763 399 1
543 625 53
431 165 73
151 937 167
498 985 141
864 282 101
735 226 153
461 579 103
950 744 57
303 873 121
245 166 1
314 541 103
753 777 133
465 66 97
503 160 101
169 705 51
759 453 153
269 40 113
204 595 137
605 664 131
957 127 1
548 294 153
576 836 93
602 805 127
391 730 61
192 466 101
251 23 153
242 568 123
969 993 117
465 181 41
298 562 1
186 869 103
39 140 153
201 445 57
197 39 121
722 242 51
997 242 53
689 523 33
615 446 97
904 156 51
752 785 1
289 773 53
649 818 13
469 651 87
378 136 81
213 629 101
863 111 53
23 609 143
994 317 77
555 856 161
810 506 1
381 751 103
762 807 73
110 888 117
404 705 141
255 400 51
352 814 153
221 186 153
567 263 57
11 668 71
277 46 1
628 88 53
255 778 133
785 343 47
481 96 101
970 665 101
827 644 153
736 639 63
861 401 137
290 828 81
808 133 1
974 905 103
279 904 93
803 473 177
910 943 61
852 333 51
586 428 153
983 456 73
609 400 117
79 389 91
747 380 1
136 88 153
